,City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temp,Wind Speed
375,Safford,US,1570400390,32.83,-109.71,1,10,91.4,11.41
376,Taltal,CL,1570400392,-25.41,-70.49,0,59,60.76,4.38
377,Bilibino,RU,1570400393,68.06,166.44,33,78,6.7,3.31
378,Zhuhai,CN,1570400394,40.71,112.04,0,48,32.0,2.24
379,Xining,CN,1570400396,36.62,101.77,100,94,36.08,1.83
380,Shizunai,JP,1570400397,42.33,142.37,100,75,55.75,14.18
381,Springbok,ZA,1570400398,-29.67,17.88,8,86,52.6,3.18
382,Padang,ID,1570400400,-0.92,100.36,94,85,77.93,15.84
383,Kenai,US,1570400401,60.55,-151.26,1,39,48.2,12.75
384,Leh,IN,1570400403,34.16,77.58,100,40,32.3,2.3
385,Nome,US,1570400404,30.04,-94.42,1,46,91.4,6.93
386,Znamenskoye,RU,1570400406,57.13,73.82,83,80,46.0,3.62
387,Kuryk,KZ,1570400407,43.18,51.68,0,12,66.21,16.46
388,Port Hedland,AU,1570400408,-20.31,118.58,0,94,68.0,6.93
389,Surgana,IN,1570400410,20.56,73.64,2,86,72.49,0.65
390,Kirakira,SB,1570400411,-10.46,161.92,45,83,80.45,13.13
391,San Vicente,EC,1570400413,-0.59,-80.41,0,78,77.0,12.75
392,Dharangaon,IN,1570400414,21.01,75.27,98,81,76.43,3.78
393,Tara,JP,1570400416,33.0,130.15,40,93,69.01,4.7
394,Barcelos,BR,1570400281,-0.97,-62.93,21,47,91.91,3.67
395,Udomlya,RU,1570400418,57.88,35.0,100,88,31.51,6.08
396,Mareeba,AU,1570400420,-16.99,145.42,40,64,75.2,16.11
397,Guerrero Negro,MX,1570400421,27.97,-114.04,0,75,71.05,10.85
398,Mari,BR,1570400423,-7.06,-35.32,20,78,77.0,5.82
399,Cravo Norte,CO,1570400424,6.3,-70.2,57,59,88.87,6.49
400,Hervey Bay,AU,1570400279,-25.3,152.85,0,83,77.0,10.29
401,Buta,CD,1570400427,2.79,24.73,100,97,70.42,3.18
402,Dwarka,IN,1570400428,28.58,77.04,75,83,86.0,5.82
403,Tocopilla,CL,1570400430,-22.09,-70.2,43,87,58.4,14.99
404,Belomorsk,RU,1570400431,64.52,34.76,4,93,27.71,3.51
405,Pringsewu,ID,1570400433,-5.36,104.98,100,93,70.17,1.36
406,Shingu,JP,1570400434,33.72,135.99,0,87,55.84,5.14
407,Sistranda,NO,1570400435,63.73,8.83,75,86,39.2,4.7
408,Dortyol,TR,1570400437,36.86,36.23,40,88,75.0,8.05
409,Bahia Honda,CU,1570400438,22.9,-83.16,70,81,82.18,22.03
410,Moose Factory,CA,1570400439,51.26,-80.61,75,66,53.6,25.28
411,Boende,CD,1570400441,-0.28,20.88,100,97,70.98,2.62
412,Canutama,BR,1570400442,-6.53,-64.38,87,51,87.74,3.42
413,Savannah Bight,HN,1570400443,16.45,-85.85,100,71,84.68,5.73
414,Silver City,US,1570400445,32.77,-108.28,1,15,82.99,11.41
415,Kapit,MY,1570400446,2.02,112.94,100,99,70.98,1.88
416,Bella Union,CO,1570400447,8.5,-73.35,79,90,74.31,3.33
417,Karratha,AU,1570400449,-20.74,116.85,0,15,82.41,18.75
418,Villa Guerrero,MX,1570400450,21.98,-103.59,57,45,79.94,1.83
419,Virginia Beach,US,1570400410,36.85,-75.98,40,60,78.01,9.17
420,Hopkinsville,US,1570400453,36.87,-87.49,40,100,75.99,4.7
421,Starup,DK,1570400454,55.24,9.54,20,93,46.4,5.82
422,Jijiga,ET,1570400456,9.35,42.8,17,88,57.73,2.84
423,Bol,TD,1570400457,13.47,14.72,18,70,80.3,4.0
424,Miranda,BR,1570400458,-20.24,-56.38,100,67,72.11,7.38
425,Vila Franca do Campo,PT,1570400460,37.72,-25.43,75,94,73.4,12.75
426,Constantine,DZ,1570400461,36.36,6.61,0,76,57.2,2.24
427,Rocha,UY,1570400463,-34.48,-54.34,0,80,56.13,6.82
428,Gazanjyk,TM,1570400464,39.24,55.52,0,21,66.12,13.47
429,Gizo,IL,1570400465,31.8,34.94,20,64,75.2,3.36
430,Namatanai,PG,1570400467,-3.66,152.44,95,86,79.12,11.23
431,Saldanha,PT,1570400468,41.42,-6.55,88,48,62.68,4.16
432,Lamu,CN,1570400469,35.77,102.37,78,92,37.1,1.34
433,Mujiayingzi,CN,1570400471,42.12,118.78,0,56,38.63,7.61
434,Narsaq,GL,1570400472,60.91,-46.05,0,59,41.0,1.12
435,San Francisco,CO,1570400473,1.17,-76.88,75,82,66.2,4.7
436,Araouane,ML,1570400475,18.9,-3.53,0,11,92.22,3.6
437,Anloga,GH,1570400476,5.79,0.9,40,88,78.8,8.05
438,Freeport,BS,1570400478,26.54,-78.7,75,83,80.6,8.05
439,San Andres,PH,1570400479,13.32,122.68,0,89,75.97,8.23
440,Kerchevskiy,RU,1570400480,59.95,56.29,100,91,40.88,5.97
441,North Bend,US,1570400482,43.41,-124.22,1,68,69.01,18.34
442,Kabalo,CD,1570400483,-6.05,26.92,5,70,73.19,4.12
443,Isangel,VU,1570400484,-19.55,169.27,40,78,77.0,3.36
444,High Level,CA,1570400486,58.52,-117.13,75,50,53.6,9.17
445,Klaksvik,FO,1570400487,62.23,-6.59,100,81,51.8,31.09
446,Dumbea,NC,1570400489,-22.15,166.45,0,50,77.0,3.36
447,Sitka,US,1570400490,37.17,-99.65,98,44,66.99,17.0
448,Micomeseng,GQ,1570400491,2.15,10.62,89,99,69.0,1.88
449,Tolaga Bay,NZ,1570400493,-38.37,178.3,2,55,55.43,3.51
450,Fez,MA,1570400494,34.03,-5.02,0,49,68.0,9.17
451,Lucapa,AO,1570400496,-8.42,20.74,93,74,71.54,3.47
452,Veinticinco de Mayo,AR,1570400497,-27.38,-54.75,98,86,66.0,4.41
453,Pangody,RU,1570400498,65.85,74.49,0,80,32.42,21.3
454,Awjilah,LY,1570400500,29.14,21.3,0,63,69.9,8.63
455,Saurimo,AO,1570400501,-9.66,20.4,70,77,69.16,2.89
456,Grants,US,1570400503,35.15,-107.85,1,10,71.6,14.99
457,Tilichiki,RU,1570400504,60.47,166.1,100,91,37.88,39.53
458,Cherepovets,RU,1570400505,59.13,37.92,75,83,33.8,11.18
459,Vila,IT,1570400507,45.18,8.4,75,100,61.0,6.93
460,Hambantota,LK,1570400508,6.12,81.12,40,100,73.4,3.36
461,Cueto,CU,1570400509,20.65,-75.94,75,69,82.4,8.05
462,Nouadhibou,MR,1570400511,20.93,-17.03,0,83,69.8,9.17
463,The Pas,CA,1570400512,53.82,-101.24,20,61,48.2,18.34
464,Grindavik,IS,1570400514,63.84,-22.43,75,87,50.0,10.29
465,Lima,PE,1570400230,-12.06,-77.04,90,82,62.6,5.82
466,Yarada,IN,1570400516,17.65,83.27,90,100,75.2,2.24
467,Makhachkala,RU,1570400433,42.98,47.5,100,88,64.4,8.95
468,Erzin,TR,1570400519,36.95,36.2,40,88,75.0,8.05
469,Nyurba,RU,1570400520,63.29,118.35,100,98,32.44,6.08
470,El Alto,BO,1570400489,-16.5,-68.19,40,61,48.2,12.75
471,Codrington,AU,1570400523,-28.95,153.24,1,73,75.99,5.82
472,Corinto,CO,1570400525,3.17,-76.26,75,73,77.0,14.99
473,Rzhaksa,RU,1570400526,52.14,42.03,100,83,41.75,11.45
474,Chara,GR,1570400527,39.42,22.43,75,82,60.8,5.12
475,Sabang,PH,1570400529,13.8,121.11,5,91,78.01,1.99
476,Xinpu,CN,1570400530,27.63,119.93,79,95,62.39,0.76
477,Port Blair,IN,1570400532,11.67,92.75,15,73,82.21,6.02
478,Priargunsk,RU,1570400533,50.37,119.09,100,71,36.01,5.46
479,Manzanillo,MX,1570400293,19.05,-104.32,40,75,89.6,9.17
480,Zyryanka,RU,1570400535,65.73,150.89,0,90,15.43,0.72
481,Tricase,IT,1570400537,39.93,18.36,40,93,63.0,3.36
482,Berlevag,NO,1570400538,70.86,29.09,75,75,42.8,9.17
483,Khed Brahma,IN,1570400540,24.03,73.05,0,75,76.45,2.62
484,Sibolga,ID,1570400541,1.74,98.78,100,77,80.72,10.83
485,Midrand,ZA,1570400543,-26.0,28.13,2,36,71.01,1.63
486,Toamasina,MG,1570400544,-18.17,49.38,75,88,75.2,2.24
487,Warmbad,DE,1570400545,50.67,13.08,100,81,44.6,5.82
488,Waingapu,ID,1570400547,-9.65,120.26,11,91,68.8,5.86
489,Port Keats,AU,1570400548,-14.25,129.55,4,88,75.79,4.29
490,Nyagan,RU,1570400550,62.14,65.43,81,76,36.04,3.85
491,Kumbo,CM,1570400551,6.21,10.69,100,93,63.82,3.91
492,Datong,CN,1570400552,40.09,113.3,0,58,44.45,6.06
493,Lakes Entrance,AU,1570400554,-37.88,147.99,68,75,57.99,6.4
494,Ust-Kuyga,RU,1570400555,70.0,135.55,0,78,9.11,1.16
495,Manama,AE,1570400556,25.33,56.02,20,52,87.8,13.87
496,Port Moresby,PG,1570400558,-9.47,147.16,75,88,78.8,3.36
497,Mount Isa,AU,1570400559,-20.73,139.49,58,20,73.4,11.97
498,Kondinskoye,RU,1570400560,59.65,67.41,100,73,47.44,4.43
499,Moranbah,AU,1570400562,-22.0,148.04,5,55,66.23,9.78
500,Maningrida,AU,1570400563,-12.05,134.23,16,96,66.32,3.98
501,Soyo,AO,1570400565,-6.13,12.37,100,83,78.32,14.92
502,Belaya Gora,RU,1570400566,68.54,146.19,100,82,18.92,4.18
503,Antequera,ES,1570400567,37.02,-4.56,0,93,70.0,5.82
504,Lerwick,GB,1570400333,60.15,-1.15,75,81,51.8,21.92
505,Dergachi,RU,1570400570,51.24,48.77,100,28,58.58,15.3
506,Biao,PH,1570400571,7.16,125.52,20,100,75.2,2.24
507,Ewo,CG,1570400573,-0.88,14.81,33,80,74.83,6.58
508,Puerto Escondido,MX,1570400574,15.86,-97.07,75,70,84.2,5.82
509,Mount Pleasant,US,1570400399,33.16,-94.97,1,34,95.0,10.29
510,Tabora,TZ,1570400577,-5.02,32.81,0,60,69.8,17.22
511,Bressanone,IT,1570400578,46.72,11.66,75,93,48.2,1.12
512,Natitingou,BJ,1570400579,10.31,1.38,40,94,77.0,2.24
513,Vega de Alatorre,MX,1570400581,20.03,-96.65,3,53,86.66,6.24
514,The Valley,AI,1570400582,18.22,-63.06,20,69,84.99,10.29
515,Iwaki,JP,1570400583,37.05,140.89,75,100,66.99,3.36
516,Kargil,PK,1570400585,34.56,76.13,100,86,31.85,2.01
517,Ahipara,NZ,1570400586,-35.17,173.16,8,100,66.99,8.37
518,Bambanglipuro,ID,1570400587,-7.95,110.28,93,86,75.8,5.37
519,Tual,ID,1570400589,-5.67,132.75,94,83,78.58,17.43
520,Leshukonskoye,RU,1570400590,64.9,45.76,94,95,27.37,0.22
521,Porirua,NZ,1570400591,-41.14,174.84,0,76,57.2,24.16
522,Strathmore,CA,1570400593,51.04,-113.4,1,26,64.99,21.92
523,Nelson Bay,AU,1570400594,-32.72,152.14,72,77,71.01,12.75
524,Vardo,US,1570400595,39.62,-77.74,90,82,70.0,10.29
525,Ciudad Bolivar,VE,1570400597,8.12,-63.55,26,52,91.32,6.87
526,Bilma,NE,1570400598,18.69,12.92,39,41,86.77,10.71
527,Suntar,RU,1570400599,62.16,117.65,90,96,31.87,5.55
528,Mandera,ET,1570400601,3.94,41.86,80,65,81.08,3.24
529,Namibe,AO,1570400602,-15.19,12.15,26,76,67.6,3.15
530,Belle Glade,US,1570400603,26.68,-80.67,75,66,84.99,14.99
531,Port-Gentil,GA,1570400605,-0.72,8.78,75,88,78.8,8.05
532,Dingtao,CN,1570400606,35.07,115.56,100,91,50.62,0.81
533,Havoysund,NO,1570400608,71.0,24.66,75,75,41.0,24.16
534,Duluth,US,1570400609,46.77,-92.13,75,76,57.99,5.82
535,Nivala,FI,1570400610,63.93,24.96,98,93,37.99,4.0
536,Road Town,VG,1570400612,18.42,-64.62,20,74,86.0,11.41
537,Chase,US,1570400613,38.35,-98.35,1,39,66.99,14.99
538,Mitsamiouli,KM,1570400615,-11.38,43.28,20,74,78.8,8.05
539,Ouadda,CF,1570400616,8.07,22.4,97,94,69.25,2.08
540,Zemio,CF,1570400617,5.02,25.13,100,97,68.08,5.61
541,Middlebury,US,1570400619,44.01,-73.17,90,82,63.0,11.41
542,Tabou,CI,1570400620,4.42,-7.36,35,92,75.07,4.07
543,Qostanay,KZ,1570400622,53.17,63.58,0,65,46.4,4.47
